tf,start_ts,end_ts,overlap_hours,kijun_flat_bars,ssb_flat_bars,kijun,ssb,range_mid,mid_spread,strength
D1,2021-06-16 00:00:00+00:00,2021-06-21 00:00:00+00:00,120.0,6,22,36191.0,44171.0,40181.0,7980.0,26.030339901580117
D1,2023-06-23 00:00:00+00:00,2023-07-05 00:00:00+00:00,288.0,13,13,28138.5,28138.5,28138.5,0.0,26.0
D1,2022-07-20 00:00:00+00:00,2022-07-21 00:00:00+00:00,24.0,6,21,21420.0,25010.35,23215.175,3590.3499999999985,25.98177987560401
D1,2022-12-31 00:00:00+00:00,2023-01-08 00:00:00+00:00,192.0,15,12,17305.0,16921.6,17113.3,383.40000000000146,25.821504626586723
D1,2025-12-01 00:00:00+00:00,2025-12-06 00:00:00+00:00,120.0,8,17,94036.85,98490.1,96263.475,4453.25,25.615022033331606
D1,2020-08-02 00:00:00+00:00,2020-08-10 00:00:00+00:00,192.0,9,15,10599.135,10485.325,10542.23,113.80999999999949,24.930855740031003
D1,2024-09-27 00:00:00+00:00,2024-10-01 00:00:00+00:00,96.0,5,17,59480.4,59480.4,59480.4,0.0,24.4
D1,2022-11-09 00:00:00+00:00,2022-11-20 00:00:00+00:00,264.0,12,12,18468.15,18468.15,18468.15,0.0,24.0
D1,2020-07-07 00:00:00+00:00,2020-07-15 00:00:00+00:00,192.0,11,13,9305.7,9560.315,9433.0075,254.61499999999978,23.75870684473925
D1,2023-04-14 00:00:00+00:00,2023-04-21 00:00:00+00:00,168.0,8,17,28769.5,25290.3,27029.9,3479.2000000000007,23.743778741424684
D1,2021-10-27 00:00:00+00:00,2021-10-29 00:00:00+00:00,48.0,3,19,57017.645,53326.79,55172.2175,3690.854999999996,23.619899912631986
D1,2022-07-15 00:00:00+00:00,2022-07-17 00:00:00+00:00,48.0,3,21,20571.45,25010.35,22790.9,4438.899999999998,23.100751382676332
D1,2022-03-17 00:00:00+00:00,2022-03-21 00:00:00+00:00,96.0,14,10,39826.85,40075.6,39951.225,248.75,23.05644269679273
D1,2024-10-08 00:00:00+00:00,2024-10-11 00:00:00+00:00,72.0,4,17,61948.15,59480.4,60714.275,2467.75,22.67823625469427
D1,2021-11-04 00:00:00+00:00,2021-11-06 00:00:00+00:00,48.0,3,19,60450.0,53326.79,56888.395000000004,7123.209999999999,22.39574455288225
D1,2025-06-29 00:00:00+00:00,2025-07-04 00:00:00+00:00,120.0,13,10,104384.5,105037.45,104710.975,652.9499999999971,22.26118512574394
D1,2023-09-26 00:00:00+00:00,2023-09-28 00:00:00+00:00,48.0,5,16,26184.0,27415.5,26799.75,1231.5,22.180751839464882
D1,2020-07-03 00:00:00+00:00,2020-07-05 00:00:00+00:00,48.0,8,13,9416.195,9560.315,9488.255000000001,144.1200000000008,21.670835074423493
D1,2021-09-26 00:00:00+00:00,2021-10-02 00:00:00+00:00,144.0,12,10,46226.79,46226.79,46226.79,0.0,21.6
D1,2021-03-06 00:00:00+00:00,2021-03-12 00:00:00+00:00,144.0,7,16,50737.095,43676.07,47206.582500000004,7061.0250000000015,21.5731501706612
D1,2025-12-13 00:00:00+00:00,2025-12-16 00:00:00+00:00,72.0,4,17,87577.5,98490.1,93033.8,10912.600000000006,21.122402315039288
D1,2021-09-17 00:00:00+00:00,2021-09-20 00:00:00+00:00,72.0,14,9,47519.0,45120.5,46319.75,2398.5,20.916894592888703
D1,2020-10-12 00:00:00+00:00,2020-10-18 00:00:00+00:00,144.0,7,12,10932.105,10934.825,10933.465,2.720000000001164,19.99502568765982
D1,2024-06-14 00:00:00+00:00,2024-06-17 00:00:00+00:00,72.0,4,15,68598.2,64340.85,66469.525,4257.3499999999985,19.923882258335325
D1,2021-09-21 00:00:00+00:00,2021-09-25 00:00:00+00:00,96.0,12,9,46226.79,45120.5,45673.645000000004,1106.2900000000009,19.917564186440188
D1,2021-07-20 00:00:00+00:00,2021-07-24 00:00:00+00:00,96.0,5,14,32932.62,35096.505,34014.5625,2163.8849999999948,19.555922072112136
D1,2024-12-17 00:00:00+00:00,2024-12-25 00:00:00+00:00,192.0,14,9,99283.4,87588.4,93435.9,11695.0,19.552670052287198
D1,2024-06-18 00:00:00+00:00,2024-06-20 00:00:00+00:00,48.0,3,15,68076.9,64340.85,66208.875,3736.0499999999956,19.310350965420295
D1,2024-06-24 00:00:00+00:00,2024-07-02 00:00:00+00:00,192.0,9,10,65181.0,65181.0,65181.0,0.0,19.2
D1,2020-06-28 00:00:00+00:00,2020-06-30 00:00:00+00:00,48.0,8,11,9416.195,9218.625,9317.41,197.5699999999997,19.19302363220942
D1,2022-08-28 00:00:00+00:00,2022-09-02 00:00:00+00:00,120.0,9,10,22354.0,22050.5,22202.25,303.5,18.94107950190507
D1,2023-10-24 00:00:00+00:00,2023-11-01 00:00:00+00:00,192.0,9,10,31253.45,30434.95,30844.2,818.5,18.703668354246478
D1,2021-07-14 00:00:00+00:00,2021-07-17 00:00:00+00:00,72.0,4,14,32701.504999999997,35096.505,33899.005,2395.0,18.680222808146965
D1,2023-03-30 00:00:00+00:00,2023-04-04 00:00:00+00:00,120.0,6,11,24353.199999999997,24353.199999999997,24353.199999999997,0.0,18.0
D1,2021-08-23 00:00:00+00:00,2021-08-30 00:00:00+00:00,168.0,8,11,43945.5,39921.12,41933.31,4024.3799999999974,17.88368553771959
D1,2020-01-19 00:00:00+00:00,2020-01-27 00:00:00+00:00,192.0,9,9,8034.369999999999,7816.15,7925.259999999999,218.21999999999935,17.517655842465384
D1,2023-05-08 00:00:00+00:00,2023-05-09 00:00:00+00:00,24.0,16,4,28989.15,28769.5,28879.325,219.65000000000146,17.467148585130577
D1,2022-09-14 00:00:00+00:00,2022-09-18 00:00:00+00:00,96.0,5,12,20675.0,21850.0,21262.5,1175.0,17.436434540389968
D1,2025-06-22 00:00:00+00:00,2025-06-26 00:00:00+00:00,96.0,13,6,104384.5,102643.25,103513.875,1741.25,17.308840780912096
D1,2021-04-03 00:00:00+00:00,2021-04-07 00:00:00+00:00,96.0,5,12,56201.04,52476.025,54338.5325,3725.0149999999994,17.219564443595182
D1,2025-04-07 00:00:00+00:00,2025-04-13 00:00:00+00:00,144.0,12,7,81604.5,86944.25,84274.375,5339.75,16.92745144808366
D1,2020-08-26 00:00:00+00:00,2020-08-27 00:00:00+00:00,24.0,6,11,11494.71,10771.72,11133.215,722.9899999999998,16.902362096471848
D1,2022-09-07 00:00:00+00:00,2022-09-09 00:00:00+00:00,48.0,3,12,21850.0,21850.0,21850.0,0.0,16.799999999999997
D1,2020-02-13 00:00:00+00:00,2020-02-18 00:00:00+00:00,120.0,6,11,9393.5,8701.72,9047.61,691.7800000000007,16.721476396365684
D1,2024-04-06 00:00:00+00:00,2024-04-08 00:00:00+00:00,48.0,9,9,67340.7,62197.05,64768.875,5143.649999999994,16.675692231113096
D1,2025-11-05 00:00:00+00:00,2025-11-12 00:00:00+00:00,168.0,8,9,107634.5,112548.65,110091.575,4914.149999999994,16.465050674651195
D1,2024-11-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,168.0,8,9,83235.0,79280.0,81257.5,3955.0,16.40168989291477
D1,2020-06-22 00:00:00+00:00,2020-06-26 00:00:00+00:00,96.0,5,11,9692.84,9218.625,9455.7325,474.21500000000015,16.378596060049663
